장소,별점,리뷰
런던베이글뮤지엄 안국점,5,"지인의 추천으로 방문한 곳입니다. 오전 8시부터 오픈이고, 8시 40분쯤 방문했는데, 이미 가게 안은 만석이었고 웨이팅은 제 앞에 2팀이 있었습니다. 약 10분 정도를 기다린 후 입장할 수 있었습니다. 가게 내부는 조금 협소한 편이며, 입구부터 빵을 고를 수 있도록 쟁반과 집게가 놓여있습니다. 베이글의 종류는 꽤 다양한 편이었습니다. 플레인 베이글을 비롯해 치아씨드 베이글, 참깨 베이글, 무화과 베이글, 바질 페스토 베이글 등이 있습니다. 잠봉뵈르 베이글과 대파프레즐베이글 등도 고를 수 있었습니다. 계산대에서 계산하기 전 계산대 옆에서 크림치즈를 고를 수 있는데, 크림치즈의 종류도 다양해서 취향껏 크림치즈를 고를 수 있는 점이 좋습니다. 베이글의 맛은 아주 잘 만들어진 베이글 맛이 나는데, 식감 역시 쫄깃하고 질감도 쫀쫀해서 담백하면서도 즐거운 식감을 느낄 수 있었습니다. 담백하고 달지 않은 베이글을 좋아하는 저에게는 지금까지 먹었던 베이글 중에 가장 잘 맞는 맛있는 베이글이었습니다. 그러나 오픈런이 있고, 매우 이른 시간부터 웨이팅이 존재하고 있다는 점이 아쉬우며 가격대가 전반적으로 높다는 점이 아쉬웠습니다. 그럼에도 불구하고, 맛있고 쫄깃한 베이글을 느끼고 싶을 때는 주저 없이 이 베이글 집을 찾을 것 같습니다."
,5,"북촌에서 가장 핫한 매장중 하나인 런던 베이글 뮤지엄. 주말에는 낮에가면 거의 대기번호 150명 이상씩 기다려야하며, 오후3시이후 찾으면 아예 대기예약조차 할수 없을 정도로 핫하다. 베이글 가격대 기본 3800원~ 거의다 4700원이고 시그니처 메뉴인 브릭레인 베이글은 6800원까지 하는등 베이글 치고는 아주 비싼 편이지만 그래도 갬성갬성한 인테리어와 대개의 베이글을 살짝 뛰어넘는 훌륭한 맛으로 그정도 가격은 거뜬히 지불하려는 사람들이 넘치는 곳."
,5,"예쁜데 맛도 있는 런던 베이글 뮤지엄:) 이렇게 인스타그래머블한 카페는 보통 맛은 뭐 그냥 그렇기도 한데 여기는 먹자마자 그런 고정관념이 완전히 깨지더라고요. 맛도 너무 좋아요. 인테리어는 뭐 말해뭐해이고 그 외 디자인, 브랜딩 전부 다 최고예요. 전 런던 살다가 왔는데 이건 뭐 런던 카페보다 더 예쁜 듯ㅎㅎㅎ 단점은 인기가 너무 많아서 정신없다는 것 뿐... 처음 생겼을 때부터 궁금했었는데 너무너무 핫하다고 해서 걱정했어요. 오픈하고 시간 꽤 지난 지금도 여전히 핫하고 대기도 길어요. 하지만 안국이잖아요. 다행히 예쁜 카페도 음식점도 많아요. 바로 맞은편 소금집도 맛있고 맞은편에 스타벅스도 있거든요. 대기 시스템 덕분에 핸드폰으로 실시간 대기현황 확인이 가능하니까 대기 걸어두고 근처 다른 카페 가 있으면 돼요. 저는 보통 이 동네 오는 날에는 일단 런던 베이글 뮤지엄 대기부터 걸어두고 일정 시작해요. 매장 착석의 경우 보통 1시간쯤 걸리니까 그거 감안해서요."
,4,11시 반에 웨이팅 걸어놓고 3시간 만에 입장했네요. 베이글이 이렇게 맛있는 거였나요?^^ 종류도 많고 쏠티한 맛이 많은데 기분 좋은 짠 정도에요. 사람 대기 없는 오전 8시에 와야겠네요.
,5,"비가 쏟아지는 평일 아침 기준, 오픈 시간인 8시 10분 전인 7시 50분에 도착하여 대기번호 34번 받았습니다. 가게에 도착하면 줄서서 기다리는 것이 아니라 출입구 쪽에 있는 대기등록 키오스크를 이용하여 본인 차례가 될 때까지 기다리면 됩니다. 역시 들리는 소문만큼 정말 훌륭한 베이글 집이었습니다. 샌드위치를 비롯하여 다양한 베이글과 크림치즈, 그리고 두 종류의 오늘의 스프가 있습니다. 저는 머쉬룸 트러플 스프를 골랐는데 가격은 사악하지만 진한 버섯의 향과 맛을 느낄 수 있었습니다.(식으면 쓴맛이 나니 따뜻할 때 빨리 드시는 것을 추천) 샌드위치는 잠봉뵈르 샌드위치, 베이글은 솔트 버터 베이글과 포테이토 치즈 베이글을 먹었는데 정말 쫀득쫀득하고 맛이 좋았습니다 ㅎㅎ"
,4,테이블링 원격줄서기 가능해서 9시에 했더니 너무 금방이라 계속 뒤로 미루기했어요. 도착1시간전에 줄서기하니 적당히 시간이 맞았어요. 날씨가 추워서 예상보다 대기가 적었어요. 머쉬룸스프와 감자치즈베이글 등 총 베이글5개. 커피한잔. 스프하나 크림치즈 큰사이즈 주문했더니 55000원 가량 나왔어요. 스프가12000원정도. 기본베이글이 4900원부터 시작이라 가격대가 꽤 있어요. 폭신폭신한 베이글식감이고 크림치즈도 스프도 맛있었어요. 5만원으로 영국에서 식사하는 듯한 감성이 있는 곳이네요. 한번 가보니 요령이 생겨서 다음번엔 제 취향에 맞게 주문가능할 것 같아요!
,5,한옥마을에서 지금 가장 핫한 곳 중의 하나 입니다. 주말에 간다면 오후 1시라도 픽업 대기만 270팀 정도 있습니다. 이것 견딜 마음이 있다면 방문 추천 합니다. 270팀은 약 2시간 정도의 대기 시간을 요구 하며 원하는 배이글이 없을 수도 있습니다. 베이글의 맛은....베이글 입니다. 울 아들은 맛이 있다고 합니다. 추천 소스를 꼭 사세요. 가게안에서 조용하게 먹기도 힘듭니다. 픽업 하려는 사람들과 직원들로 가게안이 무척 소란 스럽습니다. 이 모든 걸...각오 한다면 추천 해 드립니다.
,3,맛집의 기준이 변하는 것 같다. SNS에서 엄청 핫해서 가봤는데 베이글이 그냥 동네 빵집 수준이다. 코로나 시대에 위생 관리도 별로다.(포크 나이프 등 식기가 오픈되어 손님들이 집어가게 되어있는데 손님들이 들었다 놨다 그것도 손으로 입이 닿는 부분을...)
,4,반신반의하면서 가긴 했는데 정말 맛있어요 평일 오후쯤 갔는데도 테이크아웃 웨이팅이 20분 이상 걸리는 경이로운 곳.. 버터랑 스프레드 치즈가 향이 깊고 풍부한 맛이라 돈이 아깝진 않네요 베이글도 정말 맛있구요 베이글 많이 좋아하시고 웨이팅 감수할 수 있으시면 충분히 가볼만 하다고 생각합니다
,4,"베이글과 다양한 크림치즈들이 너무 맛있어서 용서할 수 있는 웨이팅에 대한 수고로움. - 테이블링 앱을 통해 원격 줄서기를 추천하나, 앞에 100팀이 있어도 3~40팀 남은 상황에서는 언제 매장 입장 호출을 당할지 아무도 모른다. 갑자기 줄이 급격히 빠지는 경우가 많으니 50팀 정도 남은 상황이라면 꼭 매장 주변에 있는 것을 추천!"
