장소,별점,리뷰
,5,지인의 추천으로 방문한 곳입니다
,5,"오전 8시부터 오픈이고, 8시 40분쯤 방문했는데, 이미 가게 안은 만석이었고 웨이팅은 제 앞에 2팀이 있었습니다"
,5,약 10분 정도를 기다린 후 입장할 수 있었습니다
,5,"가게 내부는 조금 협소한 편이며, 입구부터 빵을 고를 수 있도록 쟁반과 집게가 놓여있습니다"
,5,베이글의 종류는 꽤 다양한 편이었습니다
,5,"플레인 베이글을 비롯해 치아씨드 베이글, 참깨 베이글, 무화과 베이글, 바질 페스토 베이글 등이 있습니다"
,5,잠봉뵈르 베이글과 대파프레즐베이글 등도 고를 수 있었습니다
,5,"계산대에서 계산하기 전 계산대 옆에서 크림치즈를 고를 수 있는데, 크림치즈의 종류도 다양해서 취향껏 크림치즈를 고를 수 있는 점이 좋습니다"
,5,"베이글의 맛은 아주 잘 만들어진 베이글 맛이 나는데, 식감 역시 쫄깃하고 질감도 쫀쫀해서 담백하면서도 즐거운 식감을 느낄 수 있었습니다"
,5,담백하고 달지 않은 베이글을 좋아하는 저에게는 지금까지 먹었던 베이글 중에 가장 잘 맞는 맛있는 베이글이었습니다
,5,"그러나 오픈런이 있고, 매우 이른 시간부터 웨이팅이 존재하고 있다는 점이 아쉬우며 가격대가 전반적으로 높다는 점이 아쉬웠습니다"
,5,"그럼에도 불구하고, 맛있고 쫄깃한 베이글을 느끼고 싶을 때는 주저 없이 이 베이글 집을 찾을 것 같습니다."
,5,북촌에서 가장 핫한 매장중 하나인 런던 베이글 뮤지엄
,5,"주말에는 낮에가면 거의 대기번호 150명 이상씩 기다려야하며, 오후3시이후 찾으면 아예 대기예약조차 할수 없을 정도로 핫하다"
,5,베이글 가격대 기본 3800원~ 거의다 4700원이고 시그니처 메뉴인 브릭레인 베이글은 6800원까지 하는등 베이글 치고는 아주 비싼 편이지만 그래도 갬성갬성한 인테리어와 대개의 베이글을 살짝 뛰어넘는 훌륭한 맛으로 그정도 가격은 거뜬히 지불하려는 사람들이 넘치는 곳.
,5,예쁜데 맛도 있는 런던 베이글 뮤지엄:) 이렇게 인스타그래머블한 카페는 보통 맛은 뭐 그냥 그렇기도 한데 여기는 먹자마자 그런 고정관념이 완전히 깨지더라고요
,5,맛도 너무 좋아요
,5,"인테리어는 뭐 말해뭐해이고 그 외 디자인, 브랜딩 전부 다 최고예요"
,5,전 런던 살다가 왔는데 이건 뭐 런던 카페보다 더 예쁜 듯ㅎㅎㅎ 단점은 인기가 너무 많아서 정신없다는 것 뿐..
,5,처음 생겼을 때부터 궁금했었는데 너무너무 핫하다고 해서 걱정했어요
,5,오픈하고 시간 꽤 지난 지금도 여전히 핫하고 대기도 길어요
,5,하지만 안국이잖아요
,5,다행히 예쁜 카페도 음식점도 많아요
,5,바로 맞은편 소금집도 맛있고 맞은편에 스타벅스도 있거든요
,5,대기 시스템 덕분에 핸드폰으로 실시간 대기현황 확인이 가능하니까 대기 걸어두고 근처 다른 카페 가 있으면 돼요
,5,저는 보통 이 동네 오는 날에는 일단 런던 베이글 뮤지엄 대기부터 걸어두고 일정 시작해요
,5,매장 착석의 경우 보통 1시간쯤 걸리니까 그거 감안해서요.
,4,11시 반에 웨이팅 걸어놓고 3시간 만에 입장했네요
,4,베이글이 이렇게 맛있는 거였나요?^^ 종류도 많고 쏠티한 맛이 많은데 기분 좋은 짠 정도에요
,4,사람 대기 없는 오전 8시에 와야겠네요.
,5,"비가 쏟아지는 평일 아침 기준, 오픈 시간인 8시 10분 전인 7시 50분에 도착하여 대기번호 34번 받았습니다"
,5,가게에 도착하면 줄서서 기다리는 것이 아니라 출입구 쪽에 있는 대기등록 키오스크를 이용하여 본인 차례가 될 때까지 기다리면 됩니다
,5,역시 들리는 소문만큼 정말 훌륭한 베이글 집이었습니다
,5,"샌드위치를 비롯하여 다양한 베이글과 크림치즈, 그리고 두 종류의 오늘의 스프가 있습니다"
,5,"저는 머쉬룸 트러플 스프를 골랐는데 가격은 사악하지만 진한 버섯의 향과 맛을 느낄 수 있었습니다.(식으면 쓴맛이 나니 따뜻할 때 빨리 드시는 것을 추천) 샌드위치는 잠봉뵈르 샌드위치, 베이글은 솔트 버터 베이글과 포테이토 치즈 베이글을 먹었는데 정말 쫀득쫀득하고 맛이 좋았습니다 ㅎㅎ"
,4,테이블링 원격줄서기 가능해서 9시에 했더니 너무 금방이라 계속 뒤로 미루기했어요
,4,도착1시간전에 줄서기하니 적당히 시간이 맞았어요
,4,날씨가 추워서 예상보다 대기가 적었어요
,4,머쉬룸스프와 감자치즈베이글 등 총 베이글5개
,4,커피한잔
,4,스프하나 크림치즈 큰사이즈 주문했더니 55000원 가량 나왔어요
,4,스프가12000원정도
,4,기본베이글이 4900원부터 시작이라 가격대가 꽤 있어요
,4,폭신폭신한 베이글식감이고 크림치즈도 스프도 맛있었어요
,4,5만원으로 영국에서 식사하는 듯한 감성이 있는 곳이네요
,4,한번 가보니 요령이 생겨서 다음번엔 제 취향에 맞게 주문가능할 것 같아요!
,5,한옥마을에서 지금 가장 핫한 곳 중의 하나 입니다
,5,주말에 간다면 오후 1시라도 픽업 대기만 270팀 정도 있습니다
,5,이것 견딜 마음이 있다면 방문 추천 합니다
,5,270팀은 약 2시간 정도의 대기 시간을 요구 하며 원하는 배이글이 없을 수도 있습니다
,5,베이글의 맛은....베이글 입니다
,5,울 아들은 맛이 있다고 합니다
,5,추천 소스를 꼭 사세요
,5,가게안에서 조용하게 먹기도 힘듭니다
,5,픽업 하려는 사람들과 직원들로 가게안이 무척 소란 스럽습니다
,5,이 모든 걸...각오 한다면 추천 해 드립니다.
,3,맛집의 기준이 변하는 것 같다
,3,SNS에서 엄청 핫해서 가봤는데 베이글이 그냥 동네 빵집 수준이다
,3,코로나 시대에 위생 관리도 별로다.(포크 나이프 등 식기가 오픈되어 손님들이 집어가게 되어있는데 손님들이 들었다 놨다 그것도 손으로 입이 닿는 부분을...)
,4,반신반의하면서 가긴 했는데 정말 맛있어요 평일 오후쯤 갔는데도 테이크아웃 웨이팅이 20분 이상 걸리는 경이로운 곳.
,4,버터랑 스프레드 치즈가 향이 깊고 풍부한 맛이라 돈이 아깝진 않네요 베이글도 정말 맛있구요 베이글 많이 좋아하시고 웨이팅 감수할 수 있으시면 충분히 가볼만 하다고 생각합니다
,4,베이글과 다양한 크림치즈들이 너무 맛있어서 용서할 수 있는 웨이팅에 대한 수고로움
,4,"- 테이블링 앱을 통해 원격 줄서기를 추천하나, 앞에 100팀이 있어도 3~40팀 남은 상황에서는 언제 매장 입장 호출을 당할지 아무도 모른다"
,4,갑자기 줄이 급격히 빠지는 경우가 많으니 50팀 정도 남은 상황이라면 꼭 매장 주변에 있는 것을 추천!
,5,너무 맛나요
,5,사람이 너무 많아 불안하긴하지만 맛나서 두번 방문했구 앞으로도 쭉 방문할 예정입니다♡ 회사근처에 이렇게 맛난 베이글집이 있어서 행복해요 한개에 4900원이라 빵사러 가서 2만원-3만원 쓰는데 그만큼 맛나요 점심에 가서 테이블링으로 예약하면 50분 정도 걸렸고 저녁에 5시쯤 가면 웨이팅은 없었으나 베이글은 많이 빠져있었어요 버터가 진짜 맛나서 버터들어간 베이글들이 다 맛나요.
,5,잠봉뵈르도 맛나구요
,5,"또 다크초코, 라즈베리도 맛나요"
,5,치즈감자도 진짜 담백하고 맛나요...
,4,"평일에 테이크아웃은 5분정도 기다렸다가 들어갈 수 있고, 먹을거면 30분이상은 웨이팅 필요했어요 문 연지 몇달 안 된 걸로 아는데 말이 많이 들리는 걸 보니까 확실히 맛집은 맛집인가 싶더라구요 베이글 종류는 열가지정도, 샌드위치는 세가지, 크림치즈 종류 너무 많아서 무난템으로만 구매해봤어요 가격대가 너무 높아서 이게 맞나 싶었는데 베이글이 쫀득쫀득하고 맛있긴 하더라구요 스프도 만원이 넘어서 이게 맞나 싶었어요 양송이스프 맛있지만 한번 맛봤으면 됐다 싶은 맛"
,4,"진열 예쁘게 잘 해놓고 베이글 뒤쪽에서 계속계속 공장처럼 만들고 있었어요 잠봉버터는 안짜고 무난한 맛이었고, 브릭레인은 꿀없으면 심심, 꿀찍으면 환상의 맛이었어요 근데 둘다 같은 새서미베이글은데 잠봉 꺼 빵이 퍼석해서 약간 실망스러웠다가 브릭레인먹고 쫄깃해서 기분 풀림 혹시나 또 먹게된다면 테이크아웃으로도 충분할 맛이지만 굳이,,,?(너무비쌈ㅜ)"
,5,웨이팅 진짜 많네요
,5,테이크아웃 하면 그나마 조금 빨리 먹을 수 있어요
,5,커피도 의외로 맛있고 저는 개인적으로 스프링 어니언 베이글이 제일 맛있었어요
,5,근데 이 집은 브랜딩과 인테리어빨이 있어서 더 인기가 많은거같아요
,5,한번 쯤은 먹어볼 만한 맛이에요
,5,그치만 다시 줄 설 자신이 없어서 이번이 마지막일거같은 느낌입니다..
,4,"항상 웨이팅이 많은곳인데 평일 10시쯤 가니 10분 정도 기다리고 입장이 가능했어요^^ 머쉬룸스프, 쪽파베이글, 감자베이글, 잠봉샌드위치 다 맛있었는데 일행들 원픽은 감자베이글이었어요^^ 사람들이 너무 많지만 분위기도 좋고 맛도 좋아서 계속 찾게 되네요"
,4,근처 전시장 들렸다가 시간이 딱 맞아 가봤으나 긴 대기 시간 까지 기다리며 베이글을 사먹을 곳은 아니고 ..
,4,레이어드 하이웨스트 모두 같은 분이 하셨다는데 요즘 트렌드를 읽기엔 좋은듯
,4,빈티지 갬성~
,5,사람이 굉장이 많아요...
,5,대기는 무조건 있을 수 밖에 없는것같네요
,5,저는 평일 오후 낮 2시 50분 도착해서 제앞 41팀 있었는데 30분정도 산책하고오니 바로 들어갔어요
,5,아쉬운점은 한눈팔면 살 수 있는 베이글이 더이상 없다는것..
,5,파붙은 베이글 먹고싶었는데 제가 앞에서 머뭇거리는 한순간에 사라졌답니다
,5,저같은 실수 하시는분 없으시길..
,5,레모네이드 정말 상큼하고 너무 달지않아서 좋았고 버섯스프는 thick 하며 위에 트러플 오일 뿌려져있는게 향이 참 좋았어요
,5,추가로 얼그레이 크림치즈 주문했는데 주문하긴 참 잘했다는 생각이 들더라구요
,5,달달하며 거부감 없는 얼그레이향과 너무 무겁지않은 크림치즈맛이 잘 어울렸어요
,4,수요일 점심쯤 지나서 갔는데 대기900번이 넘었어요
,4,주말에는 대기 1000번이 기본으로 넘는다네요
,4,예약하고 주변에서 밥 먹으면 시간 적당하게 맞아요 품절된 베이글도 많았는데 크림 베이글이랑 잠봉 베이글중에 잠봉 베이글이 개인적으로 맛있었어요 내부 인테리어도 예쁘고 한번쯤 와볼만한 거 같아요
,4,처음에는 뭐 맛있네
,4,정도였는데 시간이 지나면 생각나는 맛
,4,매력이 있는 곳임은 분명함
,4,사온 베이글은 냉동 보관을 추천하며 리코타 치즈와 꿀이 곁들여진 베이글은 한번 먹어보길 추천함.
,5,대기가 엄청난 곳입니다
,5,"일요일 오전 11시 경 테이크아웃 대기만 1시간 남짓, 식당에서 식사하려면 웨이팅 최소 2시간 이상인거 같아요 테이크아웃으로 바질, 솔트 2개 주문해봤는데, 솔트 정말 맛있네요 베이글도 쫀득하고, 적당한 염도도, 버터도 어울리고 괜찮네요 그리고, 실내 인테리어가 감각적이고 아늑합니다"
,5,"특히 지금 시기에 안쪽 창문으로 보이는 단풍이 그림같네요 추가로 여러차례 방문했는데, 쪽파프레첼베이글도 ㅈㅁㅌ인거 같고, 레모네이드가 진하고 맛있습니다."
