id	document	label
18289	라씨 망고는 달달해서 좋았고	4
5591	자주 갔던 #광해떡볶이	2
5426	특히 놀라플로트는 비싸도 인정.	4
4074	치킨 나이트를 진행하는 오후 9시에서 11시 사이는 평일에도 붐비는 편입니다	5
13503	한참을 지나서도 식초와 와사비를 가져다 주지 않아서,	1
8366	파스타 마켓의 베스트 메뉴라고 추천된 로제 파스타와 투움바 파스타를 먹었는데 둘 다 맛있었어요!	4
527	파절이와 적당히 삭힌 배추김치도 고기와 조화가 좋았어요	5
10953	접객 및 주차 시설 괜찮고 코다리찜도 먹을만 했지만 반찬으로 제공된 백김치가 색깔도 이상하고 도저히 먹을 수 없는 수준이었음, 이 정도라면 차라리 내놓지 않는편이 좋을 듯.	3
6611	집이 수지라 동천점을 갔어야 되는데	5
5973	접하기 쉽지않은 전통식 빠오즈를 맛볼 수 있는데요 심지어 가격도 저렴한 편이라 만두를 좋아하시는 분들이라면 꼭 드셔보셨으면 좋겠습니다 😙	4
11170	교대쪽에 위치한 다목적 카페~	4
15558	케잌 넘 많있어요	5
15118	갈때마다 조용한 분위기에 플랫화이트도 꿀맛😆	5
15933	최근에 핫해지면서 많이들 들리지만 사장님이 건네시는 종이를 자세히 보진 않는지.	5
14460	불친절한 써비스는 최저ㅠ	1
10262	정말 좋아요 깔끔하고 쾌적합니다	5
6653	딤섬도 꽉차있고 짜장은 일반 짜장에 비해 고급진 맛이었습니다	3
17853	쓰고난 티슈 어디에 버려야하나 하고 둘러보기 무섭게 버려드릴게요	5
2341	점심코스 B 130g	5
11571	치즈랑 와인소스가 잘 어울려요	5
13943	비빈 뒤 처음 먹는 맛은 묵직하고요	4
11041	밥잘안먹는 둘찌가 밥 한공기 추가까지해서 엄청 잘먹네요	5
4334	비누, 샴푸, 린스, 바디워시는 갖추어져있고 칫솔, 치약은 없음.	3
12907	그런 느낌 있잖아요	5
18081	파도소리를 들으며 잠들 수 있습니다	5
7891	잊을만 하면 한번씩 포장해서 먹습니다	5
11555	점심에 식사도 괜찮을 거 같아요	4
15793	기본 빵이 맛있어서 뭘 사든 평타 이상 할것 같네요	5
13602	깔끔하고 아늑하며 물품 보관소도 준비되어 있어요	5
3277	양배추샐러드와 밥등을 추가로 제공해 준다	4
15921	도쿄에서 먹었던 마파두부멘이 계속 생각났는데 한국에도 비슷한게 있다고 해서 벼르다가 다녀왓어용 도쿄에서 먹엇던게 더 자극적이어서 입에 맞았지만 상해루도 맛있게 먹었습니다!	5
